time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_goal_assist,statistics_big_chance_created,statistics_good_high_claim,statistics_big_chance_missed,home_manager,statistics_accurate_cross,statistics_blocked_scoring_attempt,statistics_total_offside,statistics_penalty_conceded,statistics_penalty_save,statistics_error_lead_to_a_shot,statistics_penalty_won,statistics_hit_woodwork,statistics_punches,statistics_penalty_miss,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_last_man_tackle,statistics_error_lead_to_a_goal,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_clearance_off_line,statistics_own_goals,statistics_expected_goals,statistics_expected_assists,statistics_goals_prevented
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Miguel Trauco,13,D,TRUE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,César Dutra,12,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Gabriel Batista,22,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Thuler,26,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Rodinei,2,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Hugo Moura,17,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Piris da Motta,25,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Ronaldo,16,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Vitor Gabriel,29,F,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Lucas Silva,23,F,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
