data,ponto,manganes_total,turbidez,periodo,rompimento,ferro_dissolvido,intervalo
2015-01-16 10:30:00,RD035,0.0557,8.11,Chuvoso,Antes,0.202,2 days 21:50:00
2015-01-23 10:15:00,RD045,0.0213,9.59,Chuvoso,Antes,0.231,6 days 23:45:00
2015-01-23 18:30:00,RD067,0.0211,6.24,Chuvoso,Antes,0.1727,0 days 08:15:00
2015-02-24 16:20:00,RD035,,24.8,Chuvoso,Antes,,31 days 21:50:00
2015-02-25 17:00:00,RD045,,15.6,Chuvoso,Antes,,1 days 00:40:00
2015-02-26 17:30:00,RD067,,16.1,Chuvoso,Antes,,1 days 00:30:00
2015-03-24 17:10:00,RD035,,48.8,Chuvoso,Antes,,25 days 23:40:00
2015-03-25 14:40:00,RD045,,16.8,Chuvoso,Antes,,0 days 21:30:00
2015-03-26 16:40:00,RD067,,29.7,Chuvoso,Antes,,1 days 02:00:00
2015-04-07 13:20:00,RD071,0.206,15.8,Estiagem,Antes,0.279,11 days 20:40:00
2015-04-10 13:15:00,RD035,,19.4,Estiagem,Antes,0.1818,2 days 23:55:00
2015-04-15 18:00:00,RD045,0.0307,16.8,Estiagem,Antes,0.26,5 days 04:45:00
2015-04-17 19:00:00,RD067,,29.1,Estiagem,Antes,0.0401,2 days 01:00:00
2015-05-26 16:15:00,RD035,,6.26,Estiagem,Antes,,38 days 21:15:00
2015-05-27 14:40:00,RD045,,8.15,Estiagem,Antes,,0 days 22:25:00
2015-05-28 18:00:00,RD067,,14.3,Estiagem,Antes,,1 days 03:20:00
2015-06-23 16:00:00,RD035,,7.73,Estiagem,Antes,,25 days 22:00:00
2015-06-24 14:00:00,RD045,,4.78,Estiagem,Antes,,0 days 22:00:00
2015-06-25 17:10:00,RD067,,4.37,Estiagem,Antes,,1 days 03:10:00
2015-07-07 13:40:00,RD071,0.0351,1.85,Estiagem,Antes,0.0541,11 days 20:30:00
2015-07-10 11:30:00,RD035,0.0443,7.56,Estiagem,Antes,0.062,2 days 21:50:00
2015-07-17 11:00:00,RD045,0.027,3.84,Estiagem,Antes,0.0756,6 days 23:30:00
2015-07-17 19:20:00,RD067,0.0098,2.32,Estiagem,Antes,0.0309,0 days 08:20:00
2015-08-25 18:00:00,RD035,,3.9,Estiagem,Antes,,38 days 22:40:00
2015-08-26 17:00:00,RD045,,2.57,Estiagem,Antes,,0 days 23:00:00
2015-08-27 17:00:00,RD067,,2.16,Estiagem,Antes,,1 days 00:00:00
2015-09-22 16:40:00,RD035,,16.0,Estiagem,Antes,,25 days 23:40:00
2015-09-23 15:15:00,RD045,,3.72,Estiagem,Antes,,0 days 22:35:00
2015-09-24 15:00:00,RD067,,4.1,Estiagem,Antes,,0 days 23:45:00
2015-10-06 13:40:00,RD071,0.0666,1.8,Chuvoso,Antes,0.0969,11 days 22:40:00
2015-10-09 11:20:00,RD035,,2.76,Chuvoso,Antes,0.0545,2 days 21:40:00
2015-10-14 19:20:00,RD045,0.0335,2.77,Chuvoso,Antes,0.0739,5 days 08:00:00
2015-10-16 19:05:00,RD067,,3.07,Chuvoso,Antes,0.0356,1 days 23:45:00
2015-12-08 09:30:00,RD035,,7470.0,Chuvoso,Depois,,52 days 14:25:00
2015-12-08 13:20:00,RD045,,4236.0,Chuvoso,Depois,,0 days 03:50:00
2015-12-08 17:40:00,RD067,,2294.0,Chuvoso,Depois,,0 days 04:20:00
2016-01-12 10:40:00,RD071,1.375,3365.0,Chuvoso,Depois,0.0691,34 days 17:00:00
2016-01-15 12:35:00,RD035,0.65,2682.0,Chuvoso,Depois,0.1919,3 days 01:55:00
2016-01-20 10:45:00,RD045,5.637,4672.0,Chuvoso,Depois,0.326,4 days 22:10:00
2016-01-21 17:20:00,RD067,1.578,6500.0,Chuvoso,Depois,0.764,1 days 06:35:00
2016-03-15 16:30:00,RD035,,438.0,Chuvoso,Depois,,53 days 23:10:00
2016-03-16 13:30:00,RD045,,232.0,Chuvoso,Depois,,0 days 21:00:00
2016-03-17 14:30:00,RD067,,217.0,Chuvoso,Depois,,1 days 01:00:00
2016-04-05 11:30:00,RD071,0.309,135.0,Estiagem,Depois,0.204,18 days 21:00:00
2016-04-08 12:50:00,RD035,,205.0,Estiagem,Depois,0.1697,3 days 01:20:00
2016-04-15 11:10:00,RD045,0.0448,41.5,Estiagem,Depois,0.287,6 days 22:20:00
2016-04-15 18:30:00,RD067,,35.3,Estiagem,Depois,0.206,0 days 07:20:00
2016-05-24 16:40:00,RD035,,442.0,Estiagem,Depois,,38 days 22:10:00
2016-05-25 18:10:00,RD045,,29.9,Estiagem,Depois,,1 days 01:30:00
2016-05-26 17:00:00,RD067,,18.4,Estiagem,Depois,,0 days 22:50:00
2016-06-20 13:40:00,RD071,,,Estiagem,Depois,,24 days 20:40:00
2016-06-21 15:20:00,RD035,,152.0,Estiagem,Depois,,1 days 01:40:00
2016-06-22 13:30:00,RD045,,27.4,Estiagem,Depois,,0 days 22:10:00
2016-06-23 15:00:00,RD067,,19.0,Estiagem,Depois,,1 days 01:30:00
2016-07-05 11:40:00,RD071,0.0607,41.7,Estiagem,Depois,0.1483,11 days 20:40:00
2016-07-08 13:20:00,RD035,0.293,184.0,Estiagem,Depois,0.1301,3 days 01:40:00
2016-07-13 19:20:00,RD045,0.014,14.8,Estiagem,Depois,0.202,5 days 06:00:00
2016-07-15 18:50:00,RD067,0.0106,9.88,Estiagem,Depois,0.0571,1 days 23:30:00
2016-08-16 15:30:00,RD035,,196.0,Estiagem,Depois,,31 days 20:40:00
2016-08-17 15:30:00,RD045,,11.1,Estiagem,Depois,,1 days 00:00:00
2016-08-18 17:00:00,RD067,,7.25,Estiagem,Depois,,1 days 01:30:00
2016-09-30 14:50:00,RD045,0.0367,51.9,Estiagem,Depois,0.214,42 days 21:50:00
2016-09-30 16:00:00,RD011,0.585,454.0,Estiagem,Depois,0.0725,0 days 01:10:00
2016-09-30 16:00:00,RD067,0.0125,10.4,Estiagem,Depois,0.0825,0 days 00:00:00
2016-09-30 16:10:00,RD035,0.247,263.0,Estiagem,Depois,0.1952,0 days 00:10:00
2016-09-30 16:40:00,RD071,0.318,145.0,Estiagem,Depois,0.1597,0 days 00:30:00
2016-10-18 11:00:00,RD011,0.5097822581,252.0,Chuvoso,Depois,0.1198223811,17 days 18:20:00
2016-10-18 12:00:00,RD071,0.1992379185,93.7,Chuvoso,Depois,0.128255816,0 days 01:00:00
2016-10-21 14:40:00,RD035,0.2345986555,134.0,Chuvoso,Depois,0.091061645,3 days 02:40:00
2016-10-26 19:00:00,RD045,0.0231750306,28.4,Chuvoso,Depois,0.1747941549,5 days 04:20:00
2016-10-28 18:10:00,RD067,0.0183521332,3.99,Chuvoso,Depois,0.0439659637,1 days 23:10:00
2016-11-07 14:30:00,RD011,0.349,169.0,Chuvoso,Depois,0.1862,9 days 20:20:00
2016-11-07 15:00:00,RD071,0.159,58.7,Chuvoso,Depois,0.291,0 days 00:30:00
2016-11-08 14:40:00,RD035,0.162,331.0,Chuvoso,Depois,0.1444,0 days 23:40:00
2016-11-09 14:00:00,RD045,0.0252,20.2,Chuvoso,Depois,0.189,0 days 23:20:00
2016-11-10 15:00:00,RD067,0.0184,4.84,Chuvoso,Depois,0.0865,1 days 01:00:00
2016-12-05 15:30:00,RD011,1.776,4105.0,Chuvoso,Depois,0.238,25 days 00:30:00
2016-12-05 16:10:00,RD071,1.143,5228.0,Chuvoso,Depois,0.264,0 days 00:40:00
2016-12-06 14:30:00,RD035,0.695,726.0,Chuvoso,Depois,0.265,0 days 22:20:00
2016-12-07 15:30:00,RD045,0.193,208.0,Chuvoso,Depois,0.228,1 days 01:00:00
2016-12-08 15:30:00,RD067,0.1001,319.0,Chuvoso,Depois,0.272,1 days 00:00:00
2017-01-10 11:00:00,RD011,0.711,874.0,Chuvoso,Depois,0.1143,32 days 19:30:00
2017-01-10 12:30:00,RD071,0.23,161.0,Chuvoso,Depois,0.0837,0 days 01:30:00
2017-01-13 12:00:00,RD035,0.174,68.3,Chuvoso,Depois,0.251,2 days 23:30:00
