time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_shot_off_target,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_total_offside,statistics_good_high_claim,home_manager,statistics_goals,statistics_punches,statistics_penalty_won,statistics_penalty_miss,statistics_big_chance_created,statistics_big_chance_missed,statistics_goal_assist,statistics_hit_woodwork,statistics_error_lead_to_a_goal,statistics_penalty_conceded,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_own_goals,statistics_error_lead_to_a_shot,statistics_clearance_off_line,statistics_penalty_shootout_save,statistics_last_man_tackle,statistics_penalty_save,statistics_expected_goals,statistics_expected_assists,statistics_goals_prevented
São Paulo,2018,1,away,São Bento,São Paulo,Estádio Municipal Walter Ribeiro,Paulista Série A1,2,0,Luis Zubeldia,Paulinho Bóia,26,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Sidão,12,G,FALSE,NA,24,22,6,4,1,NA,NA,NA,3,90,31,7.1,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Éder Militão,13,D,FALSE,NA,62,51,4,2,7,1,3,NA,NA,90,88,7.4,15,1,NA,2,7,1,1,1,3,NA,1,2,2,NA,1,NA,2,1,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Bruno Alves,34,D,FALSE,NA,64,61,2,1,7,4,3,NA,NA,90,77,7.2,4,NA,NA,3,5,1,1,1,2,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Rodrigo Caio,3,D,FALSE,NA,77,71,9,7,2,3,1,NA,NA,90,84,7,7,NA,NA,1,3,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Edimar,16,D,FALSE,NA,74,63,5,4,6,1,1,NA,NA,90,98,6.8,15,2,NA,1,5,3,1,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Jucilei,8,M,FALSE,NA,71,64,10,8,2,NA,NA,NA,NA,90,82,7.3,10,NA,NA,NA,3,1,1,4,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Marcos Guilherme,23,M,FALSE,NA,42,37,3,3,2,NA,NA,NA,NA,78,54,7,11,5,1,NA,4,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Petros,6,M,FALSE,TRUE,51,42,NA,NA,NA,NA,NA,NA,NA,90,66,6.7,16,4,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Shaylon,20,M,FALSE,NA,48,39,4,3,6,NA,1,NA,NA,90,70,7.7,20,12,4,1,4,2,2,NA,2,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
